Seed,Spawn_Strategy,Initial_Drones_XY,Goal_X,Goal_Y,Optimal_Tick,Used_Tick,Map_Coverage_%,Spawn_Fail_Count,Backtrack_Count,Total_Spawned,Success
133411,1,"[(15, 15)]",15,17,164,165,51.37,0,0,56,True
133411,2,"[(7, 15), (23, 15)]",15,17,116,117,76.56,0,0,91,True
133411,4,"[(7, 7), (7, 23), (23, 7), (23, 23)]",15,17,54,55,64.16,0,0,90,True
133411,8,"[(3, 7), (3, 23), (11, 7), (11, 23), (19, 7), (19, 23), (27, 7), (27, 23)]",15,17,32,33,65.43,0,0,95,True
133411,16,"[(3, 3), (3, 11), (3, 19), (3, 27), (11, 3), (11, 11), (11, 19), (11, 27), (19, 3), (19, 11), (19, 19), (19, 27), (27, 3), (27, 11), (27, 19), (27, 27)]",15,17,46,63,91.11,158,352,63,True
133411,32,"[(1, 3), (1, 11), (1, 19), (1, 27), (5, 3), (5, 11), (5, 19), (5, 27), (9, 3), (9, 11), (9, 19), (9, 27), (13, 3), (13, 11), (13, 19), (13, 27), (17, 3), (17, 11), (17, 19), (17, 27), (21, 3), (21, 11), (21, 19), (21, 27), (25, 3), (25, 11), (25, 19), (25, 27), (29, 3), (29, 11), (29, 19), (29, 27)]",15,17,14,17,41.41,95,51,32,True
120687,1,"[(15, 15)]",7,25,300,301,91.41,0,0,100,True
120687,2,"[(7, 15), (23, 15)]",7,25,54,55,38.77,0,0,47,True
120687,4,"[(7, 7), (7, 23), (23, 7), (23, 23)]",7,25,36,37,48.44,0,0,60,True
120687,8,"[(3, 7), (3, 23), (11, 7), (11, 23), (19, 7), (19, 23), (27, 7), (27, 23)]",7,25,50,51,78.22,18,31,140,True
120687,16,"[(3, 3), (3, 11), (3, 19), (3, 27), (11, 3), (11, 11), (11, 19), (11, 27), (19, 3), (19, 11), (19, 19), (19, 27), (27, 3), (27, 11), (27, 19), (27, 27)]",7,25,30,93,95.9,235,627,58,True
120687,32,"[(1, 3), (1, 11), (1, 19), (1, 27), (5, 3), (5, 11), (5, 19), (5, 27), (9, 3), (9, 11), (9, 19), (9, 27), (13, 3), (13, 11), (13, 19), (13, 27), (17, 3), (17, 11), (17, 19), (17, 27), (21, 3), (21, 11), (21, 19), (21, 27), (25, 3), (25, 11), (25, 19), (25, 27), (29, 3), (29, 11), (29, 19), (29, 27)]",7,25,6,7,20.12,51,15,32,True
829878,1,"[(15, 15)]",24,15,107,108,37.7,0,0,40,True
829878,2,"[(7, 15), (23, 15)]",24,15,1,2,0.68,0,0,4,True
829878,4,"[(7, 7), (7, 23), (23, 7), (23, 23)]",24,15,75,76,78.42,0,0,103,True
829878,8,"[(3, 7), (3, 23), (11, 7), (11, 23), (19, 7), (19, 23), (27, 7), (27, 23)]",24,15,23,24,52.25,0,0,69,True
829878,16,"[(3, 3), (3, 11), (3, 19), (3, 27), (11, 3), (11, 11), (11, 19), (11, 27), (19, 3), (19, 11), (19, 19), (19, 27), (27, 3), (27, 11), (27, 19), (27, 27)]",24,15,23,24,57.32,43,67,49,True
829878,32,"[(1, 3), (1, 11), (1, 19), (1, 27), (5, 3), (5, 11), (5, 19), (5, 27), (9, 3), (9, 11), (9, 19), (9, 27), (13, 3), (13, 11), (13, 19), (13, 27), (17, 3), (17, 11), (17, 19), (17, 27), (21, 3), (21, 11), (21, 19), (21, 27), (25, 3), (25, 11), (25, 19), (25, 27), (29, 3), (29, 11), (29, 19), (29, 27)]",24,15,9,10,28.52,67,23,32,True
994058,1,"[(15, 15)]",8,7,101,102,29.2,0,0,29,True
994058,2,"[(7, 15), (23, 15)]",8,7,41,42,22.75,0,0,24,True
994058,4,"[(7, 7), (7, 23), (23, 7), (23, 23)]",8,7,3,4,3.61,0,0,11,True
994058,8,"[(3, 7), (3, 23), (11, 7), (11, 23), (19, 7), (19, 23), (27, 7), (27, 23)]",8,7,7,8,13.77,0,0,29,True
994058,16,"[(3, 3), (3, 11), (3, 19), (3, 27), (11, 3), (11, 11), (11, 19), (11, 27), (19, 3), (19, 11), (19, 19), (19, 27), (27, 3), (27, 11), (27, 19), (27, 27)]",8,7,13,14,37.7,29,18,49,True
994058,32,"[(1, 3), (1, 11), (1, 19), (1, 27), (5, 3), (5, 11), (5, 19), (5, 27), (9, 3), (9, 11), (9, 19), (9, 27), (13, 3), (13, 11), (13, 19), (13, 27), (17, 3), (17, 11), (17, 19), (17, 27), (21, 3), (21, 11), (21, 19), (21, 27), (25, 3), (25, 11), (25, 19), (25, 27), (29, 3), (29, 11), (29, 19), (29, 27)]",8,7,9,24,52.15,115,90,32,True
672086,1,"[(15, 15)]",12,29,141,142,29.0,0,0,34,True
672086,2,"[(7, 15), (23, 15)]",12,29,111,112,59.77,0,0,73,True
672086,4,"[(7, 7), (7, 23), (23, 7), (23, 23)]",12,29,149,150,96.88,0,0,142,True
672086,8,"[(3, 7), (3, 23), (11, 7), (11, 23), (19, 7), (19, 23), (27, 7), (27, 23)]",12,29,43,44,79.2,0,0,91,True
672086,16,"[(3, 3), (3, 11), (3, 19), (3, 27), (11, 3), (11, 11), (11, 19), (11, 27), (19, 3), (19, 11), (19, 19), (19, 27), (27, 3), (27, 11), (27, 19), (27, 27)]",12,29,37,48,77.93,116,183,67,True
672086,32,"[(1, 3), (1, 11), (1, 19), (1, 27), (5, 3), (5, 11), (5, 19), (5, 27), (9, 3), (9, 11), (9, 19), (9, 27), (13, 3), (13, 11), (13, 19), (13, 27), (17, 3), (17, 11), (17, 19), (17, 27), (21, 3), (21, 11), (21, 19), (21, 27), (25, 3), (25, 11), (25, 19), (25, 27), (29, 3), (29, 11), (29, 19), (29, 27)]",12,29,35,52,73.93,202,204,32,True
328154,1,"[(15, 15)]",26,17,189,190,46.48,0,0,53,True
328154,2,"[(7, 15), (23, 15)]",26,17,9,10,4.2,0,0,5,True
328154,4,"[(7, 7), (7, 23), (23, 7), (23, 23)]",26,17,171,172,90.62,0,0,188,True
328154,8,"[(3, 7), (3, 23), (11, 7), (11, 23), (19, 7), (19, 23), (27, 7), (27, 23)]",26,17,31,32,54.3,8,6,100,True
328154,16,"[(3, 3), (3, 11), (3, 19), (3, 27), (11, 3), (11, 11), (11, 19), (11, 27), (19, 3), (19, 11), (19, 19), (19, 27), (27, 3), (27, 11), (27, 19), (27, 27)]",26,17,7,8,23.34,9,2,48,True
328154,32,"[(1, 3), (1, 11), (1, 19), (1, 27), (5, 3), (5, 11), (5, 19), (5, 27), (9, 3), (9, 11), (9, 19), (9, 27), (13, 3), (13, 11), (13, 19), (13, 27), (17, 3), (17, 11), (17, 19), (17, 27), (21, 3), (21, 11), (21, 19), (21, 27), (25, 3), (25, 11), (25, 19), (25, 27), (29, 3), (29, 11), (29, 19), (29, 27)]",26,17,19,24,54.0,118,76,32,True
773443,1,"[(15, 15)]",5,20,165,166,55.57,0,0,52,True
773443,2,"[(7, 15), (23, 15)]",5,20,41,42,32.13,0,0,34,True
773443,4,"[(7, 7), (7, 23), (23, 7), (23, 23)]",5,20,5,6,4.98,0,0,14,True
773443,8,"[(3, 7), (3, 23), (11, 7), (11, 23), (19, 7), (19, 23), (27, 7), (27, 23)]",5,20,11,12,23.63,0,0,42,True
773443,16,"[(3, 3), (3, 11), (3, 19), (3, 27), (11, 3), (11, 11), (11, 19), (11, 27), (19, 3), (19, 11), (19, 19), (19, 27), (27, 3), (27, 11), (27, 19), (27, 27)]",5,20,29,30,65.33,70,80,52,True
773443,32,"[(1, 3), (1, 11), (1, 19), (1, 27), (5, 3), (5, 11), (5, 19), (5, 27), (9, 3), (9, 11), (9, 19), (9, 27), (13, 3), (13, 11), (13, 19), (13, 27), (17, 3), (17, 11), (17, 19), (17, 27), (21, 3), (21, 11), (21, 19), (21, 27), (25, 3), (25, 11), (25, 19), (25, 27), (29, 3), (29, 11), (29, 19), (29, 27)]",5,20,7,18,46.19,81,55,32,True
217133,1,"[(15, 15)]",28,15,125,126,46.58,0,0,47,True
217133,2,"[(7, 15), (23, 15)]",28,15,161,162,62.99,0,0,103,True
217133,4,"[(7, 7), (7, 23), (23, 7), (23, 23)]",28,15,103,104,79.39,0,0,122,True
217133,8,"[(3, 7), (3, 23), (11, 7), (11, 23), (19, 7), (19, 23), (27, 7), (27, 23)]",28,15,33,34,54.2,0,0,85,True
217133,16,"[(3, 3), (3, 11), (3, 19), (3, 27), (11, 3), (11, 11), (11, 19), (11, 27), (19, 3), (19, 11), (19, 19), (19, 27), (27, 3), (27, 11), (27, 19), (27, 27)]",28,15,9,10,29.1,26,6,42,True
217133,32,"[(1, 3), (1, 11), (1, 19), (1, 27), (5, 3), (5, 11), (5, 19), (5, 27), (9, 3), (9, 11), (9, 19), (9, 27), (13, 3), (13, 11), (13, 19), (13, 27), (17, 3), (17, 11), (17, 19), (17, 27), (21, 3), (21, 11), (21, 19), (21, 27), (25, 3), (25, 11), (25, 19), (25, 27), (29, 3), (29, 11), (29, 19), (29, 27)]",28,15,9,10,28.52,65,22,32,True
306409,1,"[(15, 15)]",18,6,30,31,8.59,0,0,9,True
